TYPE OF FINANCIAL INSTITUTIONS_a,TYPE OF FINANCIAL INSTITUTIONS_a,TYPE OF FINANCIAL INSTITUTIONS_a,End-March 2008_TOTAL,End-March 2008_ON-SITE,End-March 2008_OFF-SITE,End-June 2008_TOTAL,End-June 2008_ON-SITE,End-June 2008_OFF-SITE,End-September 2008_TOTAL,End-September 2008_ON-SITE,End-September 2008_OFF-SITE,End-December 2008_TOTAL,End-December 2008_ON-SITE,End-December 2008_OFF-SITE
Total Banks,Total Banks,Total Banks,"7,286 ","5,214 ","2,072 ","7,408 ","5,263 ","2,145 ","7,557 ","5,330 ","2,227 ","7,741 ","5,423 ","2,318 "
Universal and Commercial Banks,Universal and Commercial Banks,Universal and Commercial Banks Total,"6,455 ","4,512 ","1,943 ","6,562 ","4,549 ","2,013 ","6,679 ","4,587 ","2,092 ","6,803 ","4,645 ","2,158 "
Universal and Commercial Banks,Expanded Commercial Banks and Universal Banks,Expanded Commercial Banks and Universal Banks Total,"6,027 ","4,183 ","1,844 ","6,122 ","4,220 ","1,902 ","6,223 ","4,256 ","1,967 ","6,333 ","4,309 ","2,024 "
Universal and Commercial Banks,Expanded Commercial Banks and Universal Banks,Private Domestic Banks,"5,131 ","3,587 ","1,544 ","5,218 ","3,630 ","1,588 ","5,316 ","3,669 ","1,647 ","5,397 ","3,697 ","1,700 "
Universal and Commercial Banks,Expanded Commercial Banks and Universal Banks,Government Banks,874 ,576 ,298 ,880 ,568 ,312 ,883 ,565 ,318 ,912 ,590 ,322 
Universal and Commercial Banks,Expanded Commercial Banks and Universal Banks,Branches of Foreign Banks,22 ,20 ,2 ,24 ,22 ,2 ,24 ,22 ,2 ,24 ,22 ,2 
Universal and Commercial Banks,Non-Expanded Commercial Banks,Commercial Banks,428 ,329 ,99 ,440 ,329 ,111 ,456 ,331 ,125 ,470 ,336 ,134 
Universal and Commercial Banks,Non-Expanded Commercial Banks,Private Domestic Banks,341 ,255 ,86 ,353 ,255 ,98 ,369 ,257 ,112 ,383 ,262 ,121 
Universal and Commercial Banks,Non-Expanded Commercial Banks,Subsidiaries of Foreign Banks,67 ,54 ,13 ,67 ,54 ,13 ,67 ,54 ,13 ,67 ,54 ,13 
Universal and Commercial Banks,Non-Expanded Commercial Banks,Branches of Foreign Banks,20 ,20 ,0 ,20 ,20 ,0 ,20 ,20 ,0 ,20 ,20 ,0 
Thrift Banks ,Thrift Banks ,Thrift Banks ,748 ,631 ,117 ,763 ,643 ,120 ,781 ,658 ,123 ,825 ,683 ,142 
Rural and Cooperative Banks ,Rural and Cooperative Banks ,Rural and Cooperative Banks ,83 ,71 ,12 ,83 ,71 ,12 ,97 ,85 ,12 ,113 ,95 ,18 
,,,,,,,,,,,,,,
PHYSICAL NETWORK: NUMBER OF AUTOMATED TELLER MACHINES (ATMs) as of end of periods indicated,,,,,,,,,,,,,,
Updated as of 17 February 2009,,,,,,,,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,,,,,,,,
