region,airport,airline_operation,january,february,march,april,may,june,july,august,september,october,november,december,total
XIII (Caraga),Butuan,Philippine Airline Express,138264,207682,129979,134413,124993,150530,165119,215632,340516,318704,194639,121096,2241567
XIII (Caraga),Butuan,Cebu Pacific,407794,526185,401228,410282,473097,445204,492378,485499,670961,722493,548876,428763,6012760
XIII (Caraga),Butuan,Cebgo,9354,10196,7936,10414,8560,1238,9129,6294,-,5546,2088,13182,83937
XIII (Caraga),Butuan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Butuan,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
X (Northern Mindanao),Laguindingan,Philippine Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
X (Northern Mindanao),Laguindingan,Cebu Pacific,688415,735541,711984,664936,697337,711670,684763,605370,935712,1426166,998287,855997,9716178
X (Northern Mindanao),Laguindingan,Philippine Airline Express,605321,646227,601874,720898,655429,762675,854133,851752,1186222,1750569,1062605,858264,10555969
X (Northern Mindanao),Laguindingan,Air Asia/Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0
X (Northern Mindanao),Laguindingan,Cebgo,31216,32744,34816,11196,7639,6133,12998,9879,440,14635,21495,27621,210812
X (Northern Mindanao),Camiguin,Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
X (Northern Mindanao),Camiguin,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
X (Northern Mindanao),Ozamis,Philippine Airlines,188084,183933,179514,201892,212694,207157,748029,173210,173858,187318,172159,184016,2811864
X (Northern Mindanao),Ozamis,Cebu Pacific,225714,207696,208100,237660,242706,224896,225809,220456,210459,226970,172159,222926,2625551
X (Northern Mindanao),Ozamis,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
X (Northern Mindanao),Ozamis,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Siargao,Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Siargao,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Siargao,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Surigao,Cebgo,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Surigao,Philippine Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Surigao,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Surigao,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
XII (SOCCSKSARGEN),Allah Valley,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XII (SOCCSKSARGEN),Allah Valley,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Bislig,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XII (SOCCSKSARGEN),General Santos Tambler,Philippine Airlines,940143,1173931,1046076,1129707,1099668,1127653,1151408,1100767,1329689,1184379,1065935,1075470,13424826
XII (SOCCSKSARGEN),General Santos Tambler,Cebu Pacific,800519,361549,884383,824974,897432,742531,734058,760086,833470,825872,800740,915692,9381306
XII (SOCCSKSARGEN),General Santos Tambler,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XII (SOCCSKSARGEN),General Santos Tambler,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
XII (SOCCSKSARGEN),General Santos Buauyan,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
XI (Davao Region),Davao (International) ,Cebu Pacific,-,1,1,4,2047,-,20,329,544,527,6222,-,9695
XI (Davao Region),Davao (International) ,Silk Air,4303,4660,3097,5584,7219,4870,3513,5239,5584,6149,5840,2647,58705
XI (Davao Region),Davao (International) ,Xiamen Air,-,-,-,-,-,-,-,-,-,-,-,-,0
XI (Davao Region),Davao (Domestic) ,Philippine Airlines,1470898,1055484,814170,1018235,974860,1645486,1944391,2097710,2380085,2198766,1643547,1691079,18934711
XI (Davao Region),Davao (Domestic) ,Cebu Pacific,2192576,1776885,1643974,1853144,1187918,1736276,2101699,2774833,4073640,3500719,2833567,2809583,28484814
XI (Davao Region),Davao (Domestic) ,Air Philippine,-,-,-,-,-,-,-,-,127091,105324,36896,50941,320252
XI (Davao Region),Davao (Domestic) ,Air Asia/Zest Air,-,-,-,362729,306951,336598,427342,559476,795740,731829,552493,496586,4569744
XI (Davao Region),Davao (Domestic) ,Cebgo,3119,2191,4845,3925,668,3838,4590,2267,331,3366,6078,10458,45676
XI (Davao Region),Davao (Domestic) ,G. Aviation,437428,457283,340193,-,-,-,-,-,-,-,-,-,1234904
XI (Davao Region),Mati,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Tandag,Cebu Pacific,2516,2979,-,-,-,-,-,100,1059,1299,604,605,9162
XIII (Caraga),Tandag,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Tandag,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
ARMM,Cotabato,Cebu Pacific,65503,71327,62347,84547,84759,85710,85710,86507,93291,97658,100318,118065,1035742
ARMM,Cotabato,Philippine Airlines,-,-,-,-,58263,39127,-,4472,6559,2498,21016,21458,153393
ARMM,Cotabato,Philippine Airline Express,93635,86587,84856,79201,30265,47911,85585,73849,76743,95278,57066,61156,872132
ARMM,Cotabato,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
ARMM,Cotabato,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
X (Northern Mindanao),Iligan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
ARMM,Malabang,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
