date,aircraft_registration_or_model,aircraft_type,type_of_occurance,place_of_occurance,status,report
9-Sep-15,RP-C3278,Airbus A320-214,Collision with parked aircraft while on taxi,Kalibo International Airport,On-going,Interim Report
11-Jun-15,RP-C9002,Cessna 150M,Nose wheel flat tire during landing,Davao International Airport,On-going,Interim Report
