Location,Amount,Type
Santo Tomas,0,thrift
Santo Tomas,0,rural
Santol,0,universal
Santol,0,thrift
Santol,0,rural
Sudipen,0,universal
Sudipen,0,thrift
Sudipen,0,rural
Tubao,0,universal
Tubao,0,thrift
Tubao,0,rural
Agno,0,universal
Agno,0,thrift
Agno,0,rural
Aguilar,0,universal
Aguilar,0,thrift
Aguilar,0,rural
Alaminos City,9,universal
Alaminos City,4,thrift
Alaminos City,0,rural
Alcala,0,universal
Alcala,0,thrift
Alcala,0,rural
Anda,0,universal
Anda,0,thrift
Anda,0,rural
Asingan,0,universal
Asingan,1,thrift
Asingan,0,rural
Balungao,0,universal
Balungao,0,thrift
Balungao,0,rural
Bani,0,universal
Bani,0,thrift
Bani,0,rural
Basista,0,universal
Basista,0,thrift
Basista,0,rural
Bautista,0,universal
Bautista,0,thrift
Bautista,0,rural
Bayambang,3,universal
Bayambang,0,thrift
Bayambang,0,rural
Binaloan,0,universal
Binaloan,1,thrift
Binaloan,0,rural
Binmaley,1,universal
Binmaley,0,thrift
Binmaley,0,rural
Bolinao,0,universal
Bolinao,0,thrift
Bolinao,0,rural
Bugallon,0,universal
Bugallon,0,thrift
Bugallon,0,rural
Burgos,0,universal
Burgos,0,thrift
Burgos,0,rural
Calasiao,4,universal
Calasiao,0,thrift
Calasiao,0,rural
Dagupan City,49,universal
Dagupan City,8,thrift
Dagupan City,0,rural
Dasol,0,universal
Dasol,0,thrift
Dasol,0,rural
Infanta,0,universal
Infanta,0,thrift
Infanta,0,rural
Labrador,0,universal
Labrador,0,thrift
Labrador,0,rural
Laoac,1,universal
Laoac,0,thrift
Laoac,0,rural
Lingayen (Capital),8,universal
Lingayen (Capital),1,thrift
Lingayen (Capital),0,rural
Mabini,1,universal
Mabini,0,thrift
Mabini,0,rural
Malasique,2,universal
Malasique,0,thrift
Malasique,0,rural
Manaoag,3,universal
Manaoag,0,thrift
Manaoag,0,rural
Mangaldan,9,universal
Mangaldan,0,thrift
Mangaldan,0,rural
Mangatarem,0,universal
Mangatarem,0,thrift
Mangatarem,0,rural
Mapandan,0,universal
Mapandan,0,thrift
Mapandan,0,rural
Natividad,0,universal
Natividad,0,thrift
Natividad,0,rural
