date,aircraft_registration_or_model,aircraft_type,type_of_occurance,place_of_occurance,status,report
28-Jan-17,RP-C9914,Airbus A321-231,Taxiway excursion,Kalibo International Airport,On-going,Preliminary Report
29-Jan-17,RP-C3020,Bombardier DHC-8-314/583,Runway excursion during taxi,"Catarman Airport, Catarman, Northern Samar, Philippines",On-going,Preliminary Report
10-Mar-17,RP-C2791,Bonanza A36,Gear up landing,Ilo-Ilo International Airport,On-going,Preliminary Report
12-Mar-17,RP-R2546,Bell Helicopter 206B,Loss of tail rotor effectiveness,"Lapanday Food Corp., Airstrip, Tampakan, South Cotabato",On-going,Preliminary Report
